Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,F13,Right_Store,Type,Size,"DMA "
1,2011-10-21,63.71,3353,2175159762,7866,False,"",1,A,151315,Houston
28,2011-08-05,90.61,3803,1291846452,13503,False,"",28,A,206302,Dallas-Ft.Worth
43,2011-01-14,43.45,2983,2034840645,10398,False,"",43,C,41062,San Diego
1,2010-10-15,67.18,2.72,2118137436,7838,False,"",1,A,151315,Houston
36,2011-09-16,82.06,3473,2147934111,8177,False,"",36,A,39910,Salt Lake City
35,2011-09-30,70.92,3645,140381,8684,False,"",35,B,103681,Austin
39,2012-04-20,70.04,3877,2202483937,6989,False,"",39,A,184109,Chicago
32,2010-04-30,47.51,2766,189575127,8963,False,"",32,A,203007,Denver
9,2010-06-04,79.65,2705,2147257848,6384,False,"",9,B,125833,Dallas-Ft.Worth
30,2010-11-12,60.95,2728,2116608975,8163,False,"",30,C,42988,Los Angeles
8,2011-12-16,39.79,3159,2226910959,6123,False,"",8,A,155078,San Diego
43,2012-07-27,82.01,3407,2133303963,9285,False,"",43,C,41062,San Diego
14,2012-12-21,43.54,3577,1924589063,8667,False,"",14,A,200898,Dallas-Ft.Worth
45,2010-06-11,69.71,2809,1824315571,8899,False,"",45,B,118221,Tampa-St. Pete
26,2011-03-04,14.31,3437,1336141429,7907,False,"",26,A,152513,Los Angeles
21,2010-11-12,60.95,2728,2116608975,8163,False,"",21,B,140167,Salt Lake City
15,2011-11-25,41.1,3689,1364788,7866,True,"",15,B,123737,Denver
16,2011-02-18,27.18,3051,1919178331,6614,False,"",16,B,57197,Dallas-Ft.Worth
24,2013-07-12,77.83,3791,,,False,"",24,A,203819,Atlanta
44,2010-05-07,44.42,2948,1262898,7972,False,"",44,C,39910,Atlanta
43,2013-02-15,47.66,3475,2155941122,8934,False,"",43,C,41062,San Diego
35,2011-08-26,72.88,3704,1401629528,8684,False,"",35,B,103681,Austin
28,2012-11-02,63.22,4099,1312362258,10199,False,"",28,A,206302,Dallas-Ft.Worth
23,2012-08-31,68.34,3884,1383771935,4156,False,"",23,B,114533,Philadelphia
21,2013-06-28,86.8,3495,,,False,"",21,B,140167,Salt Lake City
37,2012-07-20,81.76,3311,2206148749,6623,False,"",37,C,39910,Austin
2,2012-08-03,90.22,3417,2215869799,6565,False,"",2,A,202307,Cleveland-Akron
13,2012-06-29,82,3681,1307562667,5965,False,"",13,A,219622,Los Angeles
2,2012-01-20,51.7,3268,2196258417,7057,False,"",2,A,202307,Cleveland-Akron
4,2011-04-15,62.34,3724,1289107333,5946,False,"",4,A,205863,Houston
22,2012-05-25,62.39,3.85,1421032776,7671,False,"",22,B,119557,Houston
4,2012-03-30,72.63,3.82,1309670968,4607,False,"",4,A,205863,Houston
12,2011-07-29,93.29,3805,1291677097,13503,False,"",12,B,112238,Chicago
18,2010-04-30,51.12,2935,1320644333,9269,False,"",18,B,120653,Los Angeles
3,2013-03-22,70.38,3611,2284689369,6108,False,"",3,B,37392,Denver
11,2013-07-05,82.39,3422,,,False,"",11,A,207499,Los Angeles
4,2010-07-30,80.7,2.65,1261069032,7372,False,"",4,A,205863,Houston
42,2011-08-26,91.59,3663,1292832581,8257,False,"",42,C,39690,Los Angeles
21,2011-01-28,44.04,44564,2118552668,8028,False,"",21,B,140167,Salt Lake City
27,2013-05-24,65.19,3793,,,False,"",27,A,204184,Houston
23,2012-07-13,69.19,3561,138263,4156,False,"",23,B,114533,Philadelphia
8,2012-07-20,79.94,3311,2254930078,5401,False,"",8,A,155078,San Diego
